activity_id,activity_content
85,Mache 15 Sekunden lang den klassischen Baumstand
86,Übe 1 Minute lang Atemzüge mit tiefem Bauch
87,Führe 5 Minuten lang einseitige Beinheben durch
88,Mache 3 Minuten lang Dehnübungen für die Waden
89,Führe 3 Sätze von 10 Kniebeugen durch
90,Mache 1 Minute lang sanfte Hüftdehnungen
91,Dehne 2 Minuten lang deine Armmuskeln
92,Mache 5 Sekunden lang Superman und lasse locker
93,Führe 2 Minuten lang Brustdehnübungen durch
94,Dehne für 1 Minute lang die Schienbeinmuskeln
95,Stehe auf einem Bein und halte 2 Minuten lang die Balance
96,Übe den Baum-Yoga-Stand für 30 Sekunden auf beiden Beinen
97,Führe 3 Minuten lang Stretching für den unteren Rücken durch
98,Gehe in den Ausfallschritt und halte 10 Sekunden lang
99,Mache 5 Minuten lang leichte Atemübungen im Sitzen
100,Mache 1 Minute lang Armheben
101,Führe 10 Wiederholungen von Seitensprüngen durch
102,Mache 2 Minuten lang Rumpfrotationen
103,Übe 15 Sekunden lang Schulterkreisen
104,Führe 2 Minuten lang eine aufrechte Sitzhaltung durch
105,Gehe für 5 Minuten auf einem imaginären Seil
106,Mache 1 Minute lang abwechselnde Hüftbewegungen
107,Dehne 3 Minuten lang deinen Nacken
108,Führe 10 Sekunden lang die Brettposition aus
109,Führe 1 Minute lang den Storchstand auf einem Bein aus
110,Mache 2 Minuten lang sanfte Rückenstreckungen
111,Übe 5 Minuten lang einfache Kniebeugen
112,Mache 1 Minute lang Wadenheben
113,Übe den Brückenstand für 5 Sekunden
114,Versuche 2 Minuten lang gerade zu sitzen
115,Mache 5 Minuten sanfte Beinheben auf einer Matte
116,Führe 2 Minuten lang eine entspannende Yoga-Pose aus
117,Gehe 10 Minuten in einer schönen Umgebung spazieren
118,Mache 3 Minuten lang sanfte Bauchmuskeldehnübungen
119,Versuche für 1 Minute die Kriegerpose
120,Jogge für 1 Minute auf der Stelle
121,Führe 2 Minuten lang langsame, tiefgehende Atemübungen durch
122,Mache 1 Minute lang Seitenbeugen im Stehen
123,Gehe 3 Minuten auf Zehenspitzen
124,Führe 5 Minuten lang sanfte Kopfrotationen durch
125,Mache 2 Minuten lang Schulterbewegungen
126,Gehe in eine ruhige Zone und entspanne dich für 10 Minuten
127,Übe den Baum-Yoga-Stand für 1 Minute
128,Mache 1 Minute lang Handgelenkdehnungen
129,Führe 10 Minuten lang Dehnübungen für Arme und Beine durch
130,Führe 1 Minute lang die Kriegerpose II durch
131,Stehe für 5 Minuten in der Kobra-Yoga-Position
132,Versuche 2 Minuten lang sanfte Bewegungen für deinen Kopf
133,Mache 3 Minuten lang Fußdehnungen
134,Führe 1 Minute lang die Brettposition auf den Unterarmen durch
135,Übe 5 Minuten lang Meditation im Stehen
136,Führe 10 Sekunden lang die Superman-Übung durch
137,Mache 5 Minuten lang sanfte Rückenstreckungen
138,Führe 1 Minute lang Zehenspitzen-Wippen durch
139,Spanne 1 Minute lang die Oberschenkel an und entspanne dich
140,Übe den Storchstand für 10 Sekunden
141,Führe 5 Minuten lang die Schmetterlings-Dehnung durch
142,Gehe 1 Minute in die Hocke und halte die Position
143,Dehne 3 Minuten lang deine Wadenmuskeln
144,Mache 10 Wiederholungen von langsamen Crunches
145,Führe 1 Minute lang Hüftrotationen durch
146,Mache 2 Minuten lang Arm-Dehnübungen
147,Übe 5 Minuten lang die Kobra-Yoga-Position
148,Führe 3 Minuten lang sanfte Kreise mit den Schultern durch
149,Mache 1 Minute lang Schulterstand
150,Stehe für 10 Sekunden in der Brettposition
