activity_id|activity_content
134|Erzähle einem Freund von einem neuen Buch, das du liest
135|Geh mit einem Kollegen auf einen kurzen Spaziergang
136|Frage einen Bekannten nach seinen Lieblingsbeschäftigungen
137|Teile deine Gedanken über einen aktuellen Sportereignis
138|Berichte einem Freund von deinem letzten Abenteuer
139|Nimm an einer kurzen Online-Diskussion teil
140|Frage jemanden nach seinen Plänen für die kommenden Feiertage
141|Mache ein kurzes Gespräch mit jemandem in der Kaffeeküche
142|Teile deine Lieblingsrezepte mit einem Freund
143|Geh mit einem Bekannten in ein neues Restaurant
144|Frage einen Freund, was er am meisten an seinem Job liebt
145|Berichte einem Bekannten von einem interessanten Buch
146|Frage jemanden nach seinem Lieblingsreiseziel
147|Teile deine Gedanken über einen neuen Film mit einem Freund
148|Geh mit einem Freund ins Freie und genieße die Zeit
149|Frage jemanden nach seinen liebsten Freizeitaktivitäten
150|Berichte einem Freund von einem schönen Moment in der Natur
